,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
52,TQBR,2020-03-31,МосБиржа,MOEX,41344,2020937960.5,93.88,93.7,97.25,97.25,95.76,97.25,21099430,95.78,95.78,97.25,2020937960.5,2020937960.5,2020937960.5,,3,SUR,3.9
53,TQBR,2020-03-30,МосБиржа,MOEX,32684,1569727937.9,91.0,89.44,94.08,93.6,92.15,93.6,17033690,92.15,92.15,93.6,1569727937.9,1569727937.9,1569727937.9,,3,SUR,2.04
54,TQBR,2020-03-27,МосБиржа,MOEX,41440,2009705248.6,93.0,90.15,94.0,91.73,91.64,91.73,21929900,91.64,91.64,91.73,2009705248.6,2009705248.6,2009705248.6,,3,SUR,-1.13
55,TQBR,2020-03-26,МосБиржа,MOEX,37552,1596945056.5,92.44,90.71,95.0,92.78,92.66,92.78,17233790,92.66,92.66,92.78,1596945056.5,1596945056.5,1596945056.5,,3,SUR,-0.2
56,TQBR,2020-03-25,МосБиржа,MOEX,51958,2170125289.7,95.39,89.38,97.46,92.97,93.72,92.97,23141100,93.78,93.78,92.97,2170125289.7,2170125289.7,2170125289.7,,3,SUR,-1.58
57,TQBR,2020-03-24,МосБиржа,MOEX,33609,1430724393.9,93.43,93.01,95.95,94.46,94.51,94.46,15138390,94.51,94.51,94.46,1430724393.9,1430724393.9,1430724393.9,,3,SUR,3.12
58,TQBR,2020-03-23,МосБиржа,MOEX,30652,1607137420.3,90.03,86.16,91.71,91.6,90.08,91.6,17838380,90.09,90.09,91.6,1607137420.3,1607137420.3,1607137420.3,,3,SUR,-0.43
59,TQBR,2020-03-20,МосБиржа,MOEX,51812,2736347973.4,89.98,89.5,93.0,92.0,91.64,92.0,29859040,91.64,91.64,92.0,2736347973.4,2736347973.4,2736347973.4,,3,SUR,4.0
60,TQBR,2020-03-19,МосБиржа,MOEX,63109,2881016121.7,80.98,79.54,88.46,88.46,84.49,88.46,34097640,84.49,84.49,88.46,2881016121.7,2881016121.7,2881016121.7,,3,SUR,9.24
61,TQBR,2020-03-18,МосБиржа,MOEX,45871,1905263029.2,83.35,80.0,84.32,80.98,81.49,80.98,23379720,81.49,81.49,80.98,1905263029.2,1905263029.2,1905263029.2,,3,SUR,-3.56
62,TQBR,2020-03-17,МосБиржа,MOEX,50622,5912739733.5,87.6,83.01,88.48,83.97,84.68,83.97,69824770,84.68,84.68,83.97,5912739733.5,5912739733.5,5912739733.5,,3,SUR,-4.03
63,TQBR,2020-03-16,МосБиржа,MOEX,62310,2543375824.0,89.0,85.02,90.89,87.5,87.47,87.5,29077770,87.47,87.47,87.5,2543375824.0,2543375824.0,2543375824.0,,3,SUR,-2.79
64,TQBR,2020-03-13,МосБиржа,MOEX,65555,3670431450.0,91.9,88.99,94.58,90.01,91.6,90.01,40069150,91.6,91.6,90.01,3670431450.0,3670431450.0,3670431450.0,,3,SUR,-1.83
65,TQBR,2020-03-12,МосБиржа,MOEX,57104,2987444415.0,90.68,87.2,92.44,91.69,90.27,91.69,33074290,90.33,90.33,91.69,2987444415.0,2987444415.0,2987444415.0,,3,SUR,-1.03
66,TQBR,2020-03-11,МосБиржа,MOEX,63138,3979566940.3,92.8,90.37,94.7,92.64,92.44,92.64,43053270,92.43,92.43,92.64,3979566940.3,3979566940.3,3979566940.3,,3,SUR,2.93
67,TQBR,2020-03-10,МосБиржа,MOEX,96424,5064865016.9,81.92,81.86,93.92,90.0,89.26,90.0,56746300,89.25,89.25,90.0,5064865016.9,5064865016.9,5064865016.9,,3,SUR,-1.04
68,TQBR,2020-03-06,МосБиржа,MOEX,91502,4935234636.7,95.1,89.32,95.4,90.95,91.54,90.95,53913130,91.54,91.54,90.95,4935234636.7,4935234636.7,4935234636.7,,3,SUR,-4.19
69,TQBR,2020-03-05,МосБиржа,MOEX,48774,2562189726.0,97.36,94.53,97.69,94.93,95.57,94.93,26820870,95.53,95.53,94.93,2562189726.0,2562189726.0,2562189726.0,,3,SUR,-1.63
